Current,Voltage,Ah Out,Cumulative Actual Disch Ah,Power,Remaining Capacity,Time to Depletion,type,capacity,charged,prediction
16.01,11.39,0.2668333333333333,48.86633333333335,182.35390000000004,31.13366666666665,7000.699562773262,tn1,85.0,80.0,[7146.21394957]
23.02,11.22,0.3836666666666666,49.25000000000002,258.2844,30.74999999999998,4808.861859252821,tn1,85.0,80.0,[4983.2284672]
22.98,11.2,0.383,49.63300000000002,257.376,30.366999999999976,4757.232375979108,tn1,85.0,80.0,[4962.62541626]
22.96,11.19,0.3826666666666666,50.01566666666669,256.9224,29.98433333333331,4701.3763066202055,tn1,85.0,80.0,[4937.22689424]
22.93,11.17,0.3821666666666666,50.39783333333336,256.1281,29.60216666666664,4647.527256868727,tn1,85.0,80.0,[4932.97001315]
22.9,11.15,0.3816666666666666,50.77950000000003,255.335,29.220499999999973,4593.615720524013,tn1,85.0,80.0,[4814.93288619]
16.41,11.29,0.2735,51.053000000000026,185.2689,28.94699999999997,6350.347349177326,tn1,85.0,80.0,[6064.78514717]
16.41,11.28,0.2735,51.32650000000002,185.1048,28.673499999999976,6290.347349177326,tn1,85.0,80.0,[5980.93731062]
16.41,11.28,0.2735,51.60000000000002,185.1048,28.399999999999977,6230.347349177326,tn1,85.0,80.0,[5975.84491594]
16.4,11.27,0.2733333333333333,51.87333333333336,184.828,28.126666666666644,6174.14634146341,tn1,85.0,80.0,[5911.08685319]
16.39,11.26,0.2731666666666666,52.14650000000002,184.5514,27.853499999999976,6117.913361805974,tn1,85.0,80.0,[5888.52722283]
16.39,11.26,0.2731666666666666,52.41966666666669,184.5514,27.580333333333307,6057.913361805973,tn1,85.0,80.0,[5883.65264885]
10.1,11.41,0.1683333333333333,52.58800000000003,115.241,27.41199999999997,9770.61386138613,tn1,85.0,80.0,[9519.0336116]
10.1,11.42,0.1683333333333333,52.756333333333366,115.342,27.24366666666664,9710.613861386128,tn1,85.0,80.0,[9521.85132935]
15.93,11.27,0.2655,53.02183333333337,179.53109999999998,26.97816666666663,6096.760828625228,tn1,85.0,80.0,[6005.66321718]
18.13,11.2,0.3021666666666666,53.324000000000034,203.056,26.675999999999966,5296.944291229999,tn1,85.0,80.0,[5197.20680876]
18.11,11.19,0.3018333333333333,53.62583333333337,202.6509,26.374166666666632,5242.794036443946,tn1,85.0,80.0,[5177.2476568]
18.11,11.18,0.3018333333333333,53.9276666666667,202.4698,26.072333333333297,5182.794036443947,tn1,85.0,80.0,[5162.91124885]
18.09,11.16,0.3015,54.2291666666667,201.8844,25.7708333333333,5128.524046434488,tn1,85.0,80.0,[5150.1619083]
18.07,11.15,0.3011666666666667,54.53033333333337,201.4805,25.46966666666664,5074.200332042053,tn1,85.0,80.0,[5055.0232479]
16.32,11.18,0.272,54.802333333333365,182.4576,25.197666666666635,5558.308823529405,tn1,85.0,80.0,[5800.69066157]
14.03,11.23,0.2338333333333333,55.0361666666667,157.55689999999998,24.96383333333329,6405.545260156798,tn1,85.0,80.0,[6121.03689803]
14.03,11.23,0.2338333333333333,55.27000000000004,157.55689999999998,24.72999999999996,6345.545260156797,tn1,85.0,80.0,[6102.28895194]
